[0.8924039353299213 -1.783589910747144]
[-1.0569016905129982 0.23117911299421545]
[-1.9863916348933053 1.4188439578874021]
[0.7755951455417227 -1.6973986584328749]
[0.7233921811707912 -1.6490500599141737]
[-2.3374485360605846 1.9137019092696994]
[0.7106612299360453 -1.5699888306669836]
[0.756578259511739 -1.7193716417119231]
[0.8333251929240904 -1.7449165863930753]
[0.6429350532177218 -1.708449462197882]
[0.5050074163335105 -1.4521566569026492]
[0.8107883520900818 -1.7621251694335212]
[0.7846701722515736 -1.7776191494197693]
[-1.4994318630641819 0.8062239326585392]
[-2.4820076726215685 2.1127182841914998]
[0.7440703172847339 -1.639977857675556]
[0.8515208650805169 -1.7510849382654523]
[0.6251166032143007 -1.6278514537136075]
[0.5187593545799085 -1.5146630815261632]
[-1.7666154363707318 1.0627896854116974]
[0.7630483601805462 -1.7816570402232954]
[0.9192337208749404 -1.902440794380655]
[0.3852540755137731 -1.457326508059909]
[0.8038877544255121 -1.7698090516859055]
[-0.1479309065852501 -1.167041352453432]
[-2.361433314363924 1.9908697462724656]
[0.8925919184300106 -1.7835507184391375]
[0.7975282033802611 -1.7052048627488052]
[0.7051348218143378 -1.685807514331787]
[-2.545482251580439 2.274545720033906]
[-2.339884808390994 1.9793409882262931]
[-0.6566473315716653 -0.4637147241598574]
[0.3770606843209712 -1.0267386687825089]
[0.6884029618439136 -1.6160229747430717]
[0.8924484605276771 -1.7837052846761]
[-1.7977364411682726 1.090764363082687]
[0.8635744573715454 -1.8058459618419502]
[0.7846146809539385 -1.6779024646809715]
[-1.9090074065942084 1.2972233040572068]
[0.8406516541735154 -1.8191607899421325]
[0.7197439148699497 -1.7404778810403583]
[0.7692139378449327 -1.7024324942015328]
[-2.601906601399906 2.367826744097692]
[0.879373129960946 -1.7963230130383767]
[0.7335943925200754 -1.7071575726287778]
[0.5454880120415546 -1.4787127194105274]
[-1.8656352935541012 1.0895189119003745]
[0.7845510278311041 -1.7772955412663674]
[0.6113832732871608 -1.5012903764271277]
[0.06339676873320413 -1.1634178374247786]
[-0.9467092910140462 0.21070340058525816]
[-1.4126508831388864 0.6880356704472256]
[-2.1015423156007085 1.5775852867529556]
[0.7210782023154945 -1.7398248733701265]
[0.720431003034585 -1.7413238770951311]
[-0.9585499077698098 -0.22128712240949827]
[-0.4676485442961978 -0.19379619511517054]
[0.8330212208495316 -1.7438773413586768]
[0.5196482647077814 -1.5964164436359025]
[0.7176050960695528 -1.7260168562473372]
[-2.33548672132296 1.9338431614107632]
[0.7204311975924362 -1.7398171835083953]
[0.8629846629251081 -1.8056212809331185]
[0.7636910896286975 -1.7819459219272837]
[0.7973630118537596 -1.651159338603827]
[0.6773705719588294 -1.7506907209287053]
[-1.8037369455854213 1.1485718194977586]
[-1.8627573050791457 1.1349078222073024]
[-1.8358376266604184 1.1035643571076705]
[0.6669379649948314 -1.6671632959565459]
[-2.189469319394579 1.732148824336858]
[-0.9202861467669584 -0.2785593862692848]
[0.6439918656104018 -1.6457440309913847]
[0.8734212082330386 -1.8016339402641743]
[-1.036914365663244 0.006867356383185766]
[0.5909478847221343 -1.6152077171022654]
[0.7841280551597267 -1.777222295487868]
[-1.5107569888913734 0.8751646456285069]
[0.819910710457024 -1.8231675420647864]
[0.7897855287473399 -1.8040140016295578]
[0.8326433458087168 -1.7440904611889168]
